,CNPJ,NOME,ENDEREÇO,COMPLEMENTO,BAIRRO,MUNICÍPIO,UF,PRODUTO,VALOR VENDA,DATA CADASTRO
611,31145107000151,AUTO POSTO SANTO ANGELO,"AVENIDA JO SATO,802",,JARDIM ELDORADO,VILHENA,RO,Diesel S500,3.8690,'26/03/2019
612,31145107000151,AUTO POSTO SANTO ANGELO,"AVENIDA JO SATO,802",,JARDIM ELDORADO,VILHENA,RO,Diesel S10,3.9590,'26/03/2019
613,31372642000145,REMAN COMERCIO DE PETROLEO LTDA,"AVENIDA MARECHAL ALENCASTRO,3571",,ANCHIETA,RIO DE JANEIRO,RJ,Gasolina C Comum,4.6780,'12/07/2018
614,31372642000145,REMAN COMERCIO DE PETROLEO LTDA,"AVENIDA MARECHAL ALENCASTRO,3571",,ANCHIETA,RIO DE JANEIRO,RJ,Etanol,3.1680,'12/07/2018
615,31372642000145,REMAN COMERCIO DE PETROLEO LTDA,"AVENIDA MARECHAL ALENCASTRO,3571",,ANCHIETA,RIO DE JANEIRO,RJ,Diesel S10,3.2880,'12/07/2018
616,31372642000145,REMAN COMERCIO DE PETROLEO LTDA,"AVENIDA MARECHAL ALENCASTRO,3571",,ANCHIETA,RIO DE JANEIRO,RJ,Diesel S500,3.2880,'12/07/2018
617,33088436000133,POSTO SANTA CRUZ,"AVENIDA BRAZ DE PINA,832",,PENHA,RIO DE JANEIRO,RJ,Gasolina C Comum,4.6990,'31/01/2019
618,33088436000133,POSTO SANTA CRUZ,"AVENIDA BRAZ DE PINA,832",,PENHA,RIO DE JANEIRO,RJ,Etanol,4.0990,'31/01/2019
619,33088436000133,POSTO SANTA CRUZ,"AVENIDA BRAZ DE PINA,832",,PENHA,RIO DE JANEIRO,RJ,Diesel S10,3.5990,'31/01/2019
620,33201971000159,POSTO DE GASOLINA JUREMA LTDA,"RUA CONDE DE BONFIM,734",,TIJUCA,RIO DE JANEIRO,RJ,Gasolina C Comum,4.8990,'21/02/2019
621,33201971000159,POSTO DE GASOLINA JUREMA LTDA,"RUA CONDE DE BONFIM,734",,TIJUCA,RIO DE JANEIRO,RJ,Etanol,4.0990,'21/02/2019
622,33201971000159,POSTO DE GASOLINA JUREMA LTDA,"RUA CONDE DE BONFIM,734",,TIJUCA,RIO DE JANEIRO,RJ,Diesel S10,3.6970,'21/02/2019
623,33250929000128,POSTO IATE COMBUSTIVEIS E LUBRIFICANTES LTDA,"AVENIDA PASTEUR,S/N",INTERIOR DO ICRJ,URCA,RIO DE JANEIRO,RJ,Gasolina C Comum,4.9990,'29/11/2018
624,33517491000100,POSTO DE LUBRIFICAÇÃO COMODORO LTDA,"RUA SENADOR VERGUEIRO,9", ,FLAMENGO,RIO DE JANEIRO,RJ,Gasolina C Comum,5.0990,'17/04/2019
625,33517491000100,POSTO DE LUBRIFICAÇÃO COMODORO LTDA,"RUA SENADOR VERGUEIRO,9", ,FLAMENGO,RIO DE JANEIRO,RJ,Etanol,4.3990,'17/04/2019
626,33785148000138,AUTO POSTO PIT-STOP LTDA.,"AVENIDA PRESIDENTE VARGAS,1460",,CENTRO,DOURADOS,MS,Gasolina C Comum,4.3990,'16/07/2018
627,33785148000138,AUTO POSTO PIT-STOP LTDA.,"AVENIDA PRESIDENTE VARGAS,1460",,CENTRO,DOURADOS,MS,Etanol,3.3290,'11/07/2018
628,33785148000138,AUTO POSTO PIT-STOP LTDA.,"AVENIDA PRESIDENTE VARGAS,1460",,CENTRO,DOURADOS,MS,Diesel S500,3.6380,'04/07/2018
629,33785148000138,AUTO POSTO PIT-STOP LTDA.,"AVENIDA PRESIDENTE VARGAS,1460",,CENTRO,DOURADOS,MS,Diesel S10,3.7190,'04/07/2018
630,33885534000100,POSTO LEAO,"RUA FLORES DA CUNHA,25",SALA,CENTRO,MACAUBAS,BA,Gasolina C Comum,5.1990,'19/09/2018
631,33885534000100,POSTO LEAO,"RUA FLORES DA CUNHA,25",SALA,CENTRO,MACAUBAS,BA,Etanol,3.5990,'19/09/2018
632,33885534000100,POSTO LEAO,"RUA FLORES DA CUNHA,25",SALA,CENTRO,MACAUBAS,BA,Diesel S500,3.9990,'19/09/2018
633,33885534000100,POSTO LEAO,"RUA FLORES DA CUNHA,25",SALA,CENTRO,MACAUBAS,BA,Diesel S10,4.0990,'19/09/2018
634,34002337000150,POSTOS IATE COMERCIO E SERVICOS LTDA,"AVENIDA REPORT NESTOR MOREIRA,41",,BOTAFOGO,RIO DE JANEIRO,RJ,Gasolina C Comum,5.2690,'22/04/2019
635,34002337000150,POSTOS IATE COMERCIO E SERVICOS LTDA,"AVENIDA REPORT NESTOR MOREIRA,41",,BOTAFOGO,RIO DE JANEIRO,RJ,Etanol,4.4990,'22/04/2019
636,34002337000150,POSTOS IATE COMERCIO E SERVICOS LTDA,"AVENIDA REPORT NESTOR MOREIRA,41",,BOTAFOGO,RIO DE JANEIRO,RJ,Diesel S10,4.1590,'22/04/2019
637,34147157000166,AUTO POSTO EXCEDE LTDA,"AVENIDA EPITACIO PESSOA,4630",,LAGOA,RIO DE JANEIRO,RJ,Gasolina C Comum,5.2690,'22/04/2019
638,34147157000166,AUTO POSTO EXCEDE LTDA,"AVENIDA EPITACIO PESSOA,4630",,LAGOA,RIO DE JANEIRO,RJ,Etanol,4.3990,'22/04/2019
639,34147157000166,AUTO POSTO EXCEDE LTDA,"AVENIDA EPITACIO PESSOA,4630",,LAGOA,RIO DE JANEIRO,RJ,Diesel S10,3.9990,'22/04/2019
640,36990794000125,AUTO POSTO COIMBRA,"AVENIDA ARAGUAIA,1462",QUADRA 97 LOTES 1 E 2,INDUSTRIAL,ARAGUATINS,TO,Gasolina C Comum,5.2000,'27/09/2018
641,36990794000125,AUTO POSTO COIMBRA,"AVENIDA ARAGUAIA,1462",QUADRA 97 LOTES 1 E 2,INDUSTRIAL,ARAGUATINS,TO,Etanol,3.8500,'27/09/2018
642,36990794000125,AUTO POSTO COIMBRA,"AVENIDA ARAGUAIA,1462",QUADRA 97 LOTES 1 E 2,INDUSTRIAL,ARAGUATINS,TO,Diesel S500,3.7800,'27/09/2018
643,36990794000125,AUTO POSTO COIMBRA,"AVENIDA ARAGUAIA,1462",QUADRA 97 LOTES 1 E 2,INDUSTRIAL,ARAGUATINS,TO,Diesel S10,3.8100,'27/09/2018
644,37563426000163,POSTO CARAZINHO,"RUA PREFEITO THEOFANES,2691",,CENTRO,RIO BRILHANTE,MS,Gasolina C Comum,4.5900,'27/06/2018
645,37563426000163,POSTO CARAZINHO,"RUA PREFEITO THEOFANES,2691",,CENTRO,RIO BRILHANTE,MS,Etanol,3.4900,'27/06/2018
646,37563426000163,POSTO CARAZINHO,"RUA PREFEITO THEOFANES,2691",,CENTRO,RIO BRILHANTE,MS,Diesel S500,3.6900,'27/06/2018
647,37563426000163,POSTO CARAZINHO,"RUA PREFEITO THEOFANES,2691",,CENTRO,RIO BRILHANTE,MS,Diesel S10,3.8000,'27/06/2018
648,37563426000244,POSTO TCHE,"RUA BENJAMIN CONSTANT,2054",,BAIRRO NORTE,RIO BRILHANTE,MS,Gasolina C Comum,4.6900,'27/06/2018
649,37563426000244,POSTO TCHE,"RUA BENJAMIN CONSTANT,2054",,BAIRRO NORTE,RIO BRILHANTE,MS,Etanol,3.4900,'27/06/2018
